City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,palikir - national government center,6.9248,158.1611,25.41,94,100,1.03,FM,1718290900
1,port blair,11.6667,92.75,29.02,84,40,4.63,IN,1718290900
2,kapa'a,22.0752,-159.319,21.77,77,1,4.35,US,1718290900
3,santa luzia,-19.7697,-43.8514,23.76,51,0,3.6,BR,1718290900
4,fortuna,40.5982,-124.1573,11.19,91,100,3.09,US,1718290636
5,iqaluit,63.7506,-68.5145,1.85,87,100,3.09,CA,1718290815
6,bilibino,68.0546,166.4372,10.04,57,2,0.89,RU,1718290900
7,yellowknife,62.456,-114.3525,15.79,61,75,5.14,CA,1718290892
8,port elizabeth,-33.918,25.5701,20.16,65,0,3.09,ZA,1718290900
9,adamstown,-25.066,-130.1015,19.83,62,1,3.8,PN,1718290900
10,maquoketa,42.0689,-90.6657,28.34,79,68,3.89,US,1718290901
11,marsa alam,25.0757,34.8918,34.38,34,0,3.94,EG,1718290901
12,namsos,64.4662,11.4957,21.95,37,0,3.09,NO,1718290901
13,stanley,54.868,-1.6985,14.01,73,40,3.6,GB,1718290901
14,ilulissat,69.2167,-51.1,4.01,75,75,2.57,GL,1718290901
15,punta arenas,-53.15,-70.9167,4.01,87,0,16.46,CL,1718290801
16,freetown,8.484,-13.2299,28.84,79,75,5.66,SL,1718290901
17,labrador city,52.9463,-66.9114,22.88,45,40,6.71,CA,1718290803
18,blackmans bay,-43.0167,147.3167,6.96,91,100,0.89,AU,1718290901
19,georgetown,5.4112,100.3354,30.97,66,20,3.09,MY,1718290602
20,afaahiti,-17.75,-149.2833,22.93,84,94,7.82,PF,1718290901
21,cesky brod,50.0742,14.8608,18.49,76,89,2.27,CZ,1718290901
22,port mathurin,-19.6833,63.4167,23.92,76,96,11.79,MU,1718290902
23,manghit,42.1156,60.0597,34.99,12,99,5.76,UZ,1718290902
24,pospelikha,51.95,81.7667,18.48,78,4,2.83,RU,1718290902
25,avarua,-21.2078,-159.775,22.03,88,75,1.54,CK,1718290680
26,aykhal,66.0,111.5,10.1,91,100,8.88,RU,1718290902
27,port-aux-francais,-49.35,70.2167,2.4,70,83,9.06,TF,1718290902
28,bredasdorp,-34.5322,20.0403,15.68,77,9,2.87,ZA,1718290902
29,shimoda,34.6667,138.95,20.61,87,1,3.4,JP,1718290902
30,waitangi,-43.9535,-176.5597,9.34,73,71,6.5,NZ,1718290902
31,bayville,40.9106,-73.5621,28.53,56,47,1.34,US,1718290902
32,enewetak,11.3474,162.3373,28.06,80,100,9.41,MH,1718290902
33,fort st. john,56.2499,-120.8529,8.94,93,75,3.6,CA,1718290727
34,grytviken,-54.2811,-36.5092,-0.56,97,100,7.38,GS,1718290903
35,oliver,49.1831,-119.5524,14.8,54,2,1.03,CA,1718290903
36,nuestra senora del rosario de caa cati,-27.7507,-57.6207,26.69,46,99,8.8,AR,1718290903
37,prado,-17.3411,-39.2208,25.47,79,29,4.09,BR,1718290903
38,sao felix do xingu,-6.6447,-51.995,32.92,34,0,2.88,BR,1718290822
39,codrington,-38.2667,141.9667,7.46,77,100,3.39,AU,1718290903
40,margate,51.3813,1.3862,16.28,64,100,4.92,GB,1718290767
41,edinburgh of the seven seas,-37.0676,-12.3116,12.21,75,95,2.82,SH,1718290903
42,acajutla,13.5928,-89.8275,28.42,72,100,1.31,SV,1718290833
43,suva,-18.1416,178.4415,22.71,100,40,0.0,FJ,1718290903
44,uturoa,-16.7333,-151.4333,26.2,78,17,7.31,PF,1718290903
45,sandnessjoen,66.0217,12.6316,20.29,63,20,5.14,NO,1718290903
46,vila franca do campo,37.7167,-25.4333,22.23,87,100,2.86,PT,1718290904
47,isafjordur,66.0755,-23.124,16.02,48,0,3.6,IS,1718290904
48,hithadhoo,-0.6,73.0833,28.85,69,11,2.54,MV,1718290904
49,saurimo,-9.6608,20.3916,29.36,21,16,2.89,AO,1718290904
50,bethel,41.3712,-73.414,27.71,56,41,0.45,US,1718290904
51,papatowai,-46.5619,169.4708,7.0,89,100,1.14,NZ,1718290904
52,sinabang,2.4803,96.3801,27.51,79,99,1.87,ID,1718290904
53,la passe,45.5549,-0.8967,22.23,52,100,3.97,FR,1718290904
54,puerto ayora,-0.7393,-90.3518,23.98,82,48,2.24,EC,1718290697
55,hermanus,-34.4187,19.2345,19.33,78,9,1.22,ZA,1718290904
56,constantia,44.1833,28.65,27.61,71,71,7.39,RO,1718290905
57,cabo san lucas,22.8909,-109.9124,25.9,90,100,0.0,MX,1718290905
58,wailua homesteads,22.0669,-159.378,21.03,77,0,3.97,US,1718290905
59,ushuaia,-54.8,-68.3,3.81,65,75,4.12,AR,1718290478
60,rongelap,11.1635,166.8941,27.88,81,100,9.42,MH,1718290905
61,ola,59.5833,151.2833,11.75,86,13,0.82,RU,1718290905
62,lihue,21.9789,-159.3672,21.36,77,0,4.51,US,1718290905
63,longyearbyen,78.2186,15.6401,3.91,75,40,7.2,SJ,1718290676
64,plettenberg bay,-34.0527,23.3716,15.2,79,9,2.69,ZA,1718290905
65,manacapuru,-3.2997,-60.6206,30.65,65,2,1.52,BR,1718290905
66,portland,45.5234,-122.6762,14.82,74,40,2.24,US,1718290730
67,nema,57.5067,50.5011,27.01,61,2,4.59,RU,1718290906
68,ust-nera,64.5667,143.2,10.87,85,100,1.52,RU,1718290906
69,vermillion,42.7794,-96.9292,23.09,65,59,7.68,US,1718290801
70,khovd,48.0056,91.6419,21.34,33,38,1.47,MN,1718290906
71,conde,-7.2597,-34.9075,29.7,66,20,6.17,BR,1718290906
72,holualoa,19.6228,-155.9522,21.91,92,75,1.54,US,1718290906
73,touros,-5.1989,-35.4608,29.61,62,85,6.1,BR,1718290906
74,college,64.8569,-147.8028,12.82,90,100,0.45,US,1718290906
75,manoharpur,27.3,75.95,34.49,29,80,7.29,IN,1718290906
76,khandyga,62.6667,135.6,10.82,92,91,1.87,RU,1718290906
77,mercedes,-34.6515,-59.4307,26.08,46,100,8.67,AR,1718290906
78,tsiombe,-25.3,45.4833,20.77,88,14,3.69,MG,1718290907
79,drama,41.1544,24.1394,28.21,61,100,4.14,GR,1718290907
80,east london,-33.0153,27.9116,19.52,55,0,2.06,ZA,1718290907
81,dungarpur,23.8333,73.7167,36.41,21,1,5.89,IN,1718290907
82,mooloolaba,-26.6833,153.1167,10.17,90,10,2.54,AU,1718290907
83,middlesboro,36.6084,-83.7166,27.36,65,40,0.0,US,1718290907
84,sitka,57.0531,-135.33,10.48,78,80,0.64,US,1718290907
85,hammerfest,70.6634,23.6821,9.25,76,75,5.14,NO,1718290907
86,keflavik,64.0049,-22.5624,13.95,93,100,13.89,IS,1718290907
87,tionk essil,12.7856,-16.5217,30.98,47,100,5.73,SN,1718290907
88,thompson,55.7435,-97.8558,7.09,53,75,2.57,CA,1718290896
89,olonkinbyen,70.9221,-8.7187,1.51,90,45,4.34,SJ,1718290908
90,port douglas,-16.4833,145.4667,19.99,75,4,2.09,AU,1718290908
91,tiksi,71.6872,128.8694,5.79,72,16,1.85,RU,1718290908
92,hawaiian paradise park,19.5933,-154.9731,21.13,95,75,2.06,US,1718290908
93,weno,7.4515,151.8468,28.09,78,100,4.64,FM,1718290908
94,sawakin,19.1059,37.3321,36.34,26,4,4.82,SD,1718290908
95,lebu,-37.6167,-73.65,12.89,89,100,8.81,CL,1718290908
96,quellon,-43.1167,-73.6167,11.3,95,98,4.04,CL,1718290908
97,san patricio,28.017,-97.5169,31.06,62,0,1.76,US,1718290908
98,arraial do cabo,-22.9661,-42.0278,27.92,44,0,8.23,BR,1718290889
99,crane,31.3974,-102.3501,28.06,63,0,6.85,US,1718290909
100,nemuro,43.3236,145.575,8.99,98,100,4.75,JP,1718290909
101,stephenville,32.2207,-98.2023,28.2,81,0,2.57,US,1718290624
102,guerrero negro,27.9769,-114.0611,18.99,73,16,7.06,MX,1718290779
103,saucillo,28.0167,-105.2833,31.45,29,1,0.95,MX,1718290909
104,anapa,44.8908,37.3239,29.19,45,20,4.0,RU,1718290909
105,chibuto,-24.6867,33.5306,20.04,61,0,4.38,MZ,1718290909
106,baiti,13.745,-14.7482,38.84,22,36,3.42,SN,1718290909
107,tura,25.5198,90.2201,25.47,93,95,3.72,IN,1718290909
108,sisimiut,66.9395,-53.6735,2.49,69,7,1.18,GL,1718290909
109,pacific grove,36.6177,-121.9166,12.79,94,100,1.54,US,1718290809
110,qaqortoq,60.7167,-46.0333,5.54,70,0,0.4,GL,1718290910
111,nadym,65.5333,72.5167,21.65,61,98,3.9,RU,1718290910
112,anadyr,64.75,177.4833,2.28,100,100,3.0,RU,1718290910
113,puerto natales,-51.7236,-72.4875,7.25,57,75,12.86,CL,1718290420
114,kapuskasing,49.4169,-82.4331,18.05,82,75,2.57,CA,1718290910
115,usinsk,65.9939,57.5281,16.71,76,100,4.02,RU,1718290910
116,katsuren-haebaru,26.3369,127.8719,26.89,94,100,3.6,JP,1718290910
117,mabaruma,8.2,-59.7833,25.19,96,100,0.83,GY,1718290910
118,geraldton,-28.7667,114.6,14.23,88,0,0.51,AU,1718290910
119,vila velha,-20.3297,-40.2925,28.97,48,40,3.6,BR,1718290810
120,pervomayskoye,43.919,46.7102,30.81,37,55,5.62,RU,1718290910
121,kurumkan,54.3,110.3,13.96,83,76,1.79,RU,1718290911
122,ocean shores,46.9737,-124.1563,11.68,86,6,2.24,US,1718290695
123,tralee,52.2704,-9.7026,15.14,88,75,5.66,IE,1718290628
124,kambove,-10.8764,26.5969,22.95,37,0,2.07,CD,1718290911
125,scarborough,54.2797,-0.4044,15.92,65,100,2.68,GB,1718290875
126,chernyshevskiy,63.0128,112.4714,13.67,86,75,3.6,RU,1718290911
127,kapoeta,4.7717,33.5903,30.75,42,87,0.54,SS,1718290911
128,margaret river,-33.95,115.0667,12.27,75,32,0.57,AU,1718290911
129,newman,37.3138,-121.0208,21.24,73,0,1.79,US,1718290911
130,antalaha,-14.9003,50.2788,23.99,85,10,4.63,MG,1718290911
131,vilyuchinsk,52.9306,158.4028,8.85,99,100,4.25,RU,1718290911
132,kristiansund,63.1115,7.732,15.03,77,75,3.09,NO,1718290911
133,mae hong son,19.3003,97.9685,24.04,99,93,0.82,TH,1718290871
134,sovetskaya gavan',48.9723,140.2878,6.73,95,30,1.43,RU,1718290912
135,la'ie,21.6477,-157.9253,26.98,80,35,2.24,US,1718290912
136,laixi,36.8592,120.5269,21.52,74,100,3.47,CN,1718290912
137,albany,42.6001,-73.9662,25.37,63,93,0.89,US,1718290815
138,flin flon,54.7682,-101.865,10.91,82,75,3.09,CA,1718290776
139,kodiak,57.79,-152.4072,7.3,91,99,2.43,US,1718290912
140,mersa matruh,31.3525,27.2453,33.11,31,0,4.63,EG,1718290912
141,vorkuta,67.5,64.0,7.84,100,100,1.79,RU,1718290912
142,rouissat,31.9243,5.3502,38.04,19,40,7.72,DZ,1718290912
143,west island,-12.1568,96.8225,26.99,94,40,6.17,CC,1718290913
144,sao miguel do iguacu,-25.3481,-54.2378,27.49,29,11,5.72,BR,1718290628
145,shenjiamen,29.9576,122.298,21.13,91,86,3.67,CN,1718290913
146,aasiaat,68.7098,-52.8699,0.69,83,96,0.63,GL,1718290913
147,selfoss,63.9331,-20.9971,14.47,70,100,6.29,IS,1718290630
148,ribeira grande,38.5167,-28.7,24.22,83,75,5.66,PT,1718290913
149,ventspils,57.3894,21.5606,15.96,67,20,5.66,LV,1718290739
150,phan rang-thap cham,11.5667,108.9833,27.44,88,42,0.58,VN,1718290913
151,mangrol,21.1167,70.1167,29.98,80,0,5.79,IN,1718290913
152,sao tome,0.3365,6.7273,26.38,80,94,5.02,ST,1718290913
153,el nido,11.1858,119.3956,28.46,76,74,0.95,PH,1718290914
154,saldanha,-33.0117,17.9442,22.03,80,5,4.41,ZA,1718290914
155,choibalsan,48.0667,114.5,11.06,86,41,7.14,MN,1718290914
156,timbuktu,16.7735,-3.0074,42.32,17,100,2.6,ML,1718290914
157,kingston,17.997,-76.7936,31.2,74,20,8.23,JM,1718290637
158,guichon,-32.35,-57.2,21.96,63,100,7.99,UY,1718290914
159,cidreira,-30.1811,-50.2056,22.22,63,100,3.16,BR,1718290718
160,cruzeiro do sul,-29.5128,-51.9853,25.84,67,88,3.25,BR,1718290914
161,invercargill,-46.4,168.35,6.12,98,100,5.81,NZ,1718290914
162,taunggyi,20.7833,97.0333,19.75,95,81,2.53,MM,1718290915
163,caleta olivia,-46.4393,-67.5281,6.56,74,100,2.12,AR,1718290915
164,dudinka,69.4058,86.1778,10.38,86,100,4.47,RU,1718290915
165,las palmas,28.4204,-14.0131,22.44,60,20,8.23,ES,1718290915
166,kuta,-8.7233,115.1723,25.97,94,40,2.68,ID,1718290915
167,biala podlaska,52.0324,23.1165,11.39,95,100,3.12,PL,1718290915
168,chibougamau,49.9168,-74.3659,14.79,94,100,5.66,CA,1718290872
169,olyokminsk,60.3736,120.4264,12.8,87,81,2.01,RU,1718290915
170,ulladulla,-35.35,150.4667,9.25,84,100,3.75,AU,1718290663
171,jamestown,42.097,-79.2353,25.77,55,0,5.66,US,1718290703
172,san luis de la loma,17.2706,-100.8939,28.86,68,91,0.96,MX,1718290916
173,daromehar,24.7946,68.1805,31.52,63,8,8.18,PK,1718290916
174,machico,32.7,-16.7667,22.35,71,40,7.2,PT,1718290916
175,carnarvon,-24.8667,113.6333,21.07,56,84,5.95,AU,1718290916
176,greymouth,-42.4667,171.2,8.76,96,100,2.91,NZ,1718290916
177,luderitz,-26.6481,15.1594,20.72,53,0,2.27,NA,1718290916
178,whitehorse,60.7161,-135.0538,5.43,65,75,1.54,CA,1718290887
179,constitucion,-35.3333,-72.4167,14.15,87,100,9.24,CL,1718290917
180,namibe,-15.1961,12.1522,24.78,52,0,3.98,AO,1718290917
181,yuzhno-kurilsk,44.0306,145.8556,11.32,95,79,1.83,RU,1718290917
182,talnakh,69.4865,88.3972,10.11,75,76,4.69,RU,1718290917
183,takoradi,4.8845,-1.7554,27.65,74,48,5.45,GH,1718290917
184,hamilton,39.1834,-84.5333,28.21,52,6,1.79,US,1718290826
185,collie,-33.3667,116.15,8.33,96,75,1.11,AU,1718290917
186,mejit,10.2753,170.8646,28.07,74,46,9.01,MH,1718290917
187,papao,-17.75,-149.55,23.82,85,50,8.73,PF,1718290917
188,stettler,52.3168,-112.7186,13.19,71,1,5.61,CA,1718290917
189,clinton,42.587,-82.9199,28.0,64,75,5.66,US,1718290812
190,tabou,4.423,-7.3528,26.9,80,58,5.15,CI,1718290917
191,bechar,31.6167,-2.2167,35.18,10,40,5.14,DZ,1718290877
192,howard springs,-12.497,131.047,20.95,92,79,0.23,AU,1718290918
193,callao,-12.0667,-77.15,23.57,82,100,2.57,PE,1718290833
194,necochea,-38.5473,-58.7368,18.8,90,100,3.78,AR,1718290808
195,taybad,34.74,60.7756,33.36,14,0,10.77,IR,1718290918
196,nacala,-14.5428,40.6728,25.62,88,75,4.12,MZ,1718290918
